,,Time awake (h),Wohin,,EUR p.P.,GPS lat,GPS long,
26.10.2017,Donnerstag,,,,"1,322,428,571",,,
,,,,,,,,
,,,,,,,,
,,,Auto (1x FULL Size SUV + 1x Normal SUV Budget),1837,"2,624,285,714",,,
,,,MUC,21:45,600,,,
27.10.2017,Freitag,"9,50",,Übernachtflug (06:30),,,,
,,,MCT,06:30,,,,
,,"2,50",Puffer,,,,,
,,"1,00",Abholung Auto,,,23.587939,58.290502,
,,"2,00",Fahrt nach Nizwa (ca 2 h),,,,,
,,"4,00",Besichtigung Nizwa,,,22.917103,57.536292,
28.10.2017,Samstag,"12,50",Nizwa (Hotel),,60,22.917103,57.536292,
,,"2,50",Puffer,,,,,
,,"2,00",Nizwa- Hat,2 h,,,,
,,"0,00",Snake Canyon,,,23.206253,57.393032,
,,"6,00",Wandern 6 h,,,23.206253,57.393032,
,,"2,00",Hat-Misfat,,,,,
,,"0,00",bait al safar,,,,,
29.10.2017,Sonntag,"10,50",Misfat / Zelt,,0,23.140229,57.310537,
,,"2,50",Puffer,,,,,
,,"1,00",Wanderung 1 Stunde auf der W9 bis zum Aussichtspunkt,,,23.24,57.264999,
,,,,,,,,
,,"4,00",Balcony Walk (4h),,,23.251214, 57.265988,
,,,,,,,,
,,"2,00",al ayn,,,23.27,56.745,
,,,,,,,,
,,"1,00",Miniwanderung Wadi Damm,,,18.733333,33.55,
,,,,,,,,
30.10.2017,Montag,"13,00",Wadi Damm,,0,,,
,,"2,50",Puffer,,,,,
,,"6,00",Rückfahrt,,,,,
,,,,,,,,
,,"3,00",Bahla,,,23.0818,57.6986,
,,"1,50",sayq WAnderung,,,23.0818,57.6986,
,,,,,,,,
31.10.2017,Dienstag,"12,00",Sayq Airbnb oder gutes Ferienhaus,,60,,,
,,,https://www.airbnb.de/rooms/17486596?location=Nizwa%2C%20ad%20Dachiliyya%2C%20Oman&children=0&infants=0&adults=6&guests=6&check_in=2017-10-27&check_out=2017-10-28&s=4M8FKN7y,,,23.116644, 57.610933,
,,"5,00",in die Wüste fahren,,,,,
,,"3,00",Sayq-al Mintab,3 h,,,,
,,"0,00",Al Mintarib,0h,,22.427531951157,58.80741119384766,
,,,,,,,,
,,"4,00",Wuestentour,,,22.243725, 58.790021,
,,,,,,,,
,,,,,,,,
01.11.2017,Mittwoch,"10,50",Arabian Oryx Camp,,70,22.243725, 58.790021,
,,"2,50",Puffer,,,,,
,,"2,00",Whadi Bin Khalid,,,22.429118716022185,59.41303253173828,
,,3,Fahrt Camp --> Turtles,,,,,
,,"3,00",Al Mintarib-Ras al-Hadd (turtles) - Strandtour,3 h,,22.418883763879723,59.831843376159675,
,,,,,,,,
02.11.2017,Donnerstag,"10,50",Zelt,,60,20.770354,58.727640
,,"2,50",Puffer,,,,,
,,"1,00",Strand tour I,,,22.58096728876311,59.515771865844734,
,,"3,00",Sur-Muscat,3 h,,,,
,,"4,00",Wadi Shab (mit Wanderung und Sinkhole: ),,,22.802452780677637,59.24394607543945,
,,,http://www.traveleye.net/?p=2950,,,,,
,,,,Muskat,,23.602374245776833,58.54133605957032,
,,,,,,,,
03.11.2017,Freitag,,Muscat (Hotel / Airbnb),,70,,,
,,,,,,,,
,,,,Muskat ansehen,,23.602374245776833,58.54133605957032,
,,,,,,,,
,,,,,,,,
,,,,,,,,
04.11.2017,Samstag,"12,00",Muscat (Hotel / Airbnb),,70,,,
,,"2,00",Anfahrt + Abfahrt,,,,,
,,"10,00",Tour zu Eastern Islands,https://www.facebook.com/Al-rabdan-diving-and-sea-tours-oman-386892014993588/,,23.852872,58.074074,
,,,,Muskat,,23.602374245776833,58.54133605957032,
,,,"Alternative: Dünenralley",,,22.0,58.83333,
,,,,Muskat,,23.602374245776833,58.54133605957032,
,,,,,,,,
05.11.2017,Sonntag,"0,00",Muscat (Hotel / Airbnb),,70,,,
,,,Auto abgeben,,,,,
,,,23:50 Abflug MUSKAT,,,23.592581878022894,58.28495979309083,
